,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,pre 2014 reviews,post 2014 reviews,percent change
769,2261171,Private & Spacious S.Austin Retreat,8669707,Melissa,,78748,30.18034,-97.79502,Entire home/apt,575,2,87,7/7/2019,1.34,1,299,12,75,5.25
771,2266768,21st-Century Granny Flat in Heart of East Austin,1507234,Kristine,,78702,30.27548,-97.72628,Entire home/apt,57,1,377,7/7/2019,5.73,1,29,56,321,4.732142857
773,2273498,Austin's Downtown Speakeasy Hotel,4929310,Ryan,,78701,30.26574,-97.73932,Entire home/apt,229,1,110,6/25/2019,1.69,25,274,13,97,6.461538462
774,2278649,Clean SoCo pad WALK EVERYWHERE,11636067,Taylor,,78704,30.25786,-97.74845,Entire home/apt,125,2,18,5/2/2016,0.28,1,0,9,9,0
775,2282208,Sunny&Stunning East Austin/Downtown,11655380,Jean,,78702,30.25376,-97.72489,Entire home/apt,450,2,40,6/22/2019,0.68,1,286,6,34,4.666666667
776,2292088,New 4BR | 4 min from downtown,11709535,Allen,,78731,30.31039,-97.75409,Entire home/apt,998,3,2,3/18/2015,0.03,1,0,1,1,0
777,2292322,1920's East Austin Cottage,11710972,David,,78702,30.25663,-97.73081,Entire home/apt,99,1,150,6/26/2019,2.31,1,159,3,147,48
778,2292679,East Austin clean/cozy/modern,387916,Caitlin,,78702,30.26343,-97.71528,Entire home/apt,400,4,3,3/14/2019,0.05,1,0,1,2,1
779,2296386,Peaceful retreat in Hill Country,9240919,John And Vivien,,78736,30.25133,-97.92873,Private room,59,2,94,6/26/2019,1.45,2,357,16,78,3.875
780,2303293,Stunning Modern Home in Zilker!,11762795,Mandi,,78704,30.24664,-97.78429,Entire home/apt,1000,1,3,5/15/2015,0.05,2,365,1,2,1
781,2304959,The True Texas Rockhouse on 43rd,11772564,Sally,,78751,30.30124,-97.71854,Entire home/apt,135,2,133,6/30/2019,2.05,1,255,19,114,5
783,2310024,Luxury Downtown Austin Apartment,11795334,Holly,,78701,30.26928,-97.73577,Entire home/apt,175,1,35,5/12/2015,0.54,1,0,28,7,-0.75
784,2310634,Craftsman Luxury by Downtown!,1642301,Charles And Sarah,,78703,30.27349,-97.75511,Entire home/apt,120,1,12,3/22/2016,0.19,1,0,2,10,4
785,2310990,Cute Mid Century Modern - Walk To Zilker Park,8214644,Liz And Ben,,78704,30.25506,-97.77325,Entire home/apt,250,3,34,3/14/2018,0.59,1,6,1,33,32
786,2315963,Mid Century Modern Sanctuary,11826507,Chris,,78741,30.22011,-97.73394,Entire home/apt,156,3,63,10/22/2018,0.97,1,0,8,55,5.875
787,2316065,Room w/ 2 Beds in NW Hills 78731,11827627,Lorraine,,78731,30.36109,-97.76756,Private room,88,2,12,10/21/2018,0.18,2,365,4,8,1
788,2316074,Comfy Room in Northwest Hills 78731,11827627,Lorraine,,78731,30.36252,-97.76651,Private room,70,2,21,5/27/2019,0.32,2,180,4,17,3.25
789,2318394,!! Private Room- 10 mins to Downtown,7567467,Chalu,,78752,30.32707,-97.68105,Private room,35,1,231,7/5/2019,3.56,7,82,15,216,13.4
790,2322667,Peaceful Hill Country Escape For 5+,11863622,Jon + Laura,,78736,30.24647,-97.99533,Entire home/apt,225,2,20,10/7/2018,0.31,1,292,3,17,4.666666667
791,2324317,"Boutique Mid-Century Haven with Yard, Fast Wi-Fi, Great Area",80406,Dani,,78704,30.24165,-97.74084,Entire home/apt,550,1,68,7/6/2019,1.06,12,143,8,60,6.5
792,2326308,Tron Room in Midcentury Ranch House,8686465,Rene & Thomas,,78745,30.21789,-97.77657,Private room,39,1,178,6/16/2019,2.74,4,73,9,169,17.77777778
794,2336368,Sweet East Austin Suite,11932614,Mari And Danny,,78702,30.26064,-97.70652,Entire home/apt,99,2,176,7/7/2019,2.71,1,46,2,174,86
795,2336937,!Master room & Private Bath - 10 mins to downtown,7567467,Chalu,,78752,30.32621,-97.68138,Private room,65,1,43,6/22/2019,0.66,7,5,7,36,4.142857143
798,2349236,Charming Guesthouse on Urban Farm,11996653,Dorsey,,78702,30.2653,-97.69992,Entire home/apt,150,2,320,7/8/2019,5.05,1,293,19,301,14.84210526
799,2349328,"Walk to SoCo from a Stylish, Sunny, Mid-Century Retreat",80406,Dani,,78704,30.24366,-97.74071,Entire home/apt,550,1,94,6/26/2019,1.54,12,124,7,87,11.42857143
800,2349447,"Austin, South SOCO Cottage - Walk to S Congress",11997337,Jon,,78704,30.2397,-97.75687,Entire home/apt,85,2,335,7/9/2019,5.11,1,197,42,293,5.976190476
801,2350566,Modern Zen Oasis - Bedroom 1,11152728,Jon,,78702,30.27278,-97.71187,Private room,85,2,14,4/29/2018,0.24,3,284,3,11,2.666666667
802,2352061,Large Eastside House sleeps 6,12026312,Cotton,,78702,30.27201,-97.726,Entire home/apt,600,2,9,3/19/2016,0.14,1,0,4,5,0.25
803,2354263,Natural light home CLARKSVILLE SXSW Downtown,12022747,Kat And Steve,,78703,30.27883,-97.7617,Entire home/apt,500,3,2,3/17/2016,0.03,1,0,1,1,0
807,2357048,SWSX PERFECT Uptown Duplex,12036969,Linda,,78704,30.23109,-97.74619,Entire home/apt,200,1,6,3/19/2017,0.09,1,0,1,5,4
808,2357311,Amazing View overlooks Lake Austin!,574218,Matthew,,78731,30.31356,-97.77539,Entire home/apt,159,2,84,1/2/2019,1.29,1,365,16,68,3.25
810,2366328,Roof Terrace Loft Twin Beds & Bath,12088051,Pam,,78704,30.252,-97.74746,Private room,125,2,87,5/26/2019,1.34,2,344,11,76,5.909090909
813,2371846,Roof Terrace Loft Queen Bed&Bath,12088051,Pam,,78704,30.24781,-97.74728,Private room,125,2,111,6/17/2019,1.71,2,340,16,95,4.9375
814,2372452,Zilker cabin with great view! ,12119529,Sean,,78704,30.25959,-97.77558,Entire home/apt,550,1,5,5/28/2018,0.09,1,361,1,4,3
815,2373638,Stunning One Bedroom Home ,12126499,Tense,,78705,30.29863,-97.74579,Entire home/apt,250,2,5,4/27/2019,0.08,1,365,2,3,0.5
817,2374311,SXSW Home,1821807,Mike And Crystal,,78702,30.26282,-97.71389,Entire home/apt,275,3,7,3/15/2016,0.11,1,0,3,4,0.333333333
818,2377337,Centrally Located Apartment with Kitchen & Laundry,12145106,Elizabeth,,78757,30.34302,-97.71955,Entire home/apt,72,2,85,7/8/2019,1.31,1,254,3,82,26.33333333
819,2378661,New!! Cozy Space in Clarksville!,768835,Wendy,,78703,30.27562,-97.76069,Entire home/apt,230,2,19,4/13/2019,0.29,1,115,6,13,1.166666667
820,2380130,East Austin Gem SXSW! Near Downtown,1928437,Anne,,78722,30.29836,-97.71547,Entire home/apt,390,3,12,3/12/2019,0.19,1,361,4,8,1
826,2390109,"Private, spacious suite in excellent neighborhood!",2665483,Alexandra,,78703,30.29681,-97.74968,Private room,93,1,114,6/14/2019,1.99,1,313,4,110,26.5
827,2390894,Bungalow in the Heart of South Austin,12212172,Nicholas,,78704,30.24739,-97.77064,Entire home/apt,115,2,139,6/27/2019,2.14,1,127,15,124,7.266666667
828,2392323,Cozy Bedroom in Central Austin,11076074,Marcos,,78704,30.23806,-97.75879,Private room,50,3,133,6/30/2019,2.1,2,118,26,107,3.115384615
829,2394853,Sunny 60s house with vintage charm,748835,Marshall + Alicia,,78753,30.35715,-97.68427,Private room,50,1,103,6/2/2019,1.65,1,322,9,94,9.444444444
830,2396602,"Charming, Newly Updated Craftsman-Style Home Located in Austin's SoCo District",5196648,Anthony & Hayley,,78704,30.2367,-97.76038,Entire home/apt,159,1,216,7/7/2019,3.32,2,293,6,210,34
831,2400693,4 bed 2.5 bath Congress / South 1st,11917124,Ian,,78704,30.24161,-97.75759,Entire home/apt,711,2,7,5/8/2016,0.11,1,195,2,5,1.5
832,2404206,East Downtown House-Close to it All,1414067,Julie,,78702,30.25865,-97.73264,Entire home/apt,168,2,173,6/26/2019,2.73,1,152,22,151,5.863636364
833,2406820,Private Room Zilker/Downtown,12302442,Steve,,78746,30.27668,-97.77974,Private room,95,2,5,3/22/2016,0.08,3,192,1,4,3
834,2406879,Stay in Texas Hill Country,12303203,Regina & Klaus,,78734,30.35747,-97.96431,Private room,72,2,19,6/22/2015,0.3,1,188,10,9,-0.1
836,2411898,Fab Room Downtown where AIRBNB CEO stays!,177441,Ashley,,78703,30.27512,-97.75706,Private room,95,1,34,6/12/2019,0.53,2,342,4,30,6.5
840,2417854,Bright & Stylish North Central with Pool and Gym,12356977,Karen,,78757,30.35302,-97.73549,Entire home/apt,66,30,6,5/9/2019,0.09,3,334,1,5,4
841,2418647,Beautiful Central Austin Home!,7335335,Lorna,,78731,30.32248,-97.7481,Entire home/apt,189,2,130,6/23/2019,2.1,2,294,18,112,5.222222222
842,2423468,Artisan's Retreat (home & studio),11897676,Gale (Audrianna),,78733,30.34739,-97.85941,Entire home/apt,245,2,8,3/16/2019,0.12,3,337,3,5,0.666666667
843,2423840,Downtown Clarksville Craftsman Home,832736,Jess And Jonathan,,78703,30.27452,-97.75968,Entire home/apt,350,1,11,10/8/2018,0.19,1,194,3,8,1.666666667
844,2426905,The Silver Screen Cinema Suite,4929310,Ryan,,78701,30.26642,-97.74085,Entire home/apt,395,1,144,6/23/2019,2.24,25,278,12,132,10
845,2431295,"Monthly Safe, Clean and Comfortable SuperHost Home",12426659,Patrick,,78748,30.18789,-97.82263,Private room,30,29,37,5/16/2019,0.57,2,349,13,24,0.846153846
847,2432311,Private 2 Bedroom (3+beds)/1 Bath in Home,12432655,Nicole,,78754,30.35636,-97.64152,Private room,50,1,216,6/18/2019,3.32,1,128,44,172,2.909090909
849,2442377,Room in home on NW Hills Greenbelt,12486058,Yvonne,,78759,30.38665,-97.75699,Private room,48,2,23,6/15/2019,0.39,1,34,1,22,21
851,2446434,Townhouse in heart of East Austin,243565,Dorothy And Mac,,78702,30.26164,-97.72772,Entire home/apt,100,30,6,5/17/2019,0.09,2,166,1,5,4
852,2447244,Bouldin Creek Cottage,7764443,Joyce,,78704,30.24258,-97.75508,Entire home/apt,190,30,9,8/4/2015,0.14,1,284,8,1,-0.875
854,2453663,Large room minutes from downtown,12546820,Morgan,,78741,30.2257,-97.69448,Private room,40,1,17,1/1/2016,0.27,1,0,2,15,6.5
855,2454556,Cold AC Glamping Happiness,8686465,Rene & Thomas,,78745,30.21902,-97.77605,Private room,69,1,284,6/23/2019,4.43,4,78,28,256,8.142857143
856,2454577,"Central home, spacious with pool!",10467446,Tim,,78756,30.31202,-97.74865,Entire home/apt,295,3,2,8/6/2016,0.03,1,0,1,1,0
857,2455040,Remodeled 1940s Brentwood Charmer,1859696,Elva,,78757,30.33229,-97.73099,Entire home/apt,180,5,2,8/6/2016,0.03,2,7,1,1,0
858,2458182,1 (sometimes 2) bedrm walk to SoCo!,2965368,Maria,,78704,30.2382,-97.74129,Private room,70,1,16,3/22/2016,0.26,1,0,6,10,0.666666667
859,2459536,Welcome to The Railyard! 4/3 condo!,579290,Jay,,78701,30.26459,-97.74076,Entire home/apt,460,2,44,3/31/2019,0.68,22,323,5,39,6.8
861,2460980,House 3 miles from downtown!,12584017,Beth,,78704,30.22723,-97.76599,Entire home/apt,1100,3,2,1/28/2015,0.03,2,263,1,1,0
863,2461357,"2 bed/1bath, full kitchen, Sleeps 7",12586048,Alexa,,78723,30.30056,-97.69079,Entire home/apt,111,3,51,4/29/2019,0.79,1,345,11,40,2.636363636
865,2466535,Gorgeous Bungalow in Hip South ATX,12435810,Auburn,,78704,30.2344,-97.76913,Entire home/apt,160,2,26,5/29/2017,0.4,1,16,12,14,0.166666667
866,2467411,Hip and Happy Home in SE Austin,12618573,Bevyn,,78741,30.23306,-97.71274,Private room,91,1,8,3/16/2017,0.12,1,0,1,7,6
868,2477149,Treetop Cottage,10016722,Michael,,78736,30.24592,-97.91107,Entire home/apt,150,2,35,5/16/2019,0.55,1,181,5,30,5
869,2482916,"Private,Very Spacious yet Cozy. Easily sleeps 12.",12392861,Erin,,78736,30.25236,-97.91142,Entire home/apt,450,2,28,7/8/2019,0.43,1,179,3,25,7.333333333
871,2489196,Private Room Zilker/Downtown,12302442,Steve,,78746,30.27491,-97.77822,Private room,95,2,7,10/16/2017,0.11,3,192,2,5,1.5
872,2492407,Eastside Tiny Cottage & Cat Haven Near Downtown,5242228,Steve & Monica,,78702,30.27218,-97.71613,Entire home/apt,120,2,100,7/7/2019,1.6,1,76,10,90,8
876,2496138,8 blocks to Rainey! Walk downtown!,408793,Jason,,78702,30.25301,-97.7244,Entire home/apt,297,1,232,7/10/2019,3.78,6,156,3,229,75.33333333
877,2500385,"Eastside Spartan - Near Downtown,UT",1770424,Jason,,78702,30.27871,-97.72288,Entire home/apt,99,1,412,6/24/2019,6.38,5,353,39,373,8.564102564
878,2501888,Private bed in home,12806524,Paul,,78746,30.28634,-97.81048,Private room,88,1,113,6/11/2019,1.74,1,328,20,93,3.65
879,2502288,"Private Room w/ Bath, Easy Commute",12808722,Jw,,78705,30.29854,-97.74529,Private room,115,2,2,3/25/2015,0.03,1,0,1,1,0
880,2502568,Beautiful Apt with a downtown view!,12399505,Jay,,78701,30.26995,-97.73817,Entire home/apt,350,3,74,5/26/2019,1.15,1,146,13,61,3.692307692
881,2502923,Perfectly Located SOCO Studio,12812402,Andrew,,78704,30.24908,-97.75163,Entire home/apt,150,1,307,6/9/2019,4.72,1,340,53,254,3.79245283
883,2512464,Large private bedroom in Westlake,12789217,Xin,,78746,30.29759,-97.82612,Private room,63,21,29,3/26/2019,0.45,2,328,7,22,2.142857143
884,2514883,A bedroom in a country resort house,12789217,Xin,,78746,30.29698,-97.82666,Private room,51,5,35,4/8/2019,0.54,2,329,8,27,2.375
885,2516299,Cozy CENTRAL Private Condo (1Bed/B),2961708,Joe,,78705,30.28715,-97.72562,Entire home/apt,140,2,12,10/8/2018,0.19,1,88,5,7,0.4
887,2521003,Bouldin Avenue Studio,9599503,Billy,,78704,30.25611,-97.75612,Entire home/apt,125,2,161,7/1/2019,2.48,1,125,7,154,21
888,2524955,9th Over Lamar: 2 BR suite downtown,12928071,David,,78703,30.27407,-97.75394,Entire home/apt,200,2,168,10/21/2018,2.61,1,347,12,156,12
889,2526099,ACL Fest Stay,5091069,Drew,,78752,30.33542,-97.71615,Entire home/apt,120,1,16,10/21/2018,0.27,1,0,1,15,14
890,2528473,Garden Cottage in East Austin,5152543,Marcella,,78723,30.29722,-97.68262,Entire home/apt,65,1,563,6/23/2019,8.68,2,293,74,489,5.608108108
891,2529203,Fantastic 2br Full House in Soco!,12951616,Kit,,78704,30.24848,-97.75377,Entire home/apt,198,2,19,11/10/2015,0.29,1,223,8,11,0.375
892,2539594,FAB F1 Single Traveler Comfort,3781862,Victoria,,78744,30.19736,-97.69462,Private room,23,30,106,6/25/2019,1.64,2,330,10,96,8.6
893,2546012,"Quiet, Comfortable, Great Location- South Lamar",13035711,Stephanie,,78704,30.24337,-97.77732,Entire home/apt,200,30,17,10/13/2018,0.28,1,365,2,15,6.5
894,2546818,Hip Condo In South Austin!,13040118,Edward,,78704,30.23424,-97.78619,Entire home/apt,73,3,29,6/6/2019,0.45,1,338,4,25,5.25
900,2583106,Quiet Hill Country Get-Away,13226397,Pam And Mark,,78737,30.2152,-97.98252,Entire home/apt,115,2,49,4/29/2019,0.79,1,180,7,42,5
902,2592427,Cute East Austin Apartment SXSW UT,1834167,Grace Marie,,78722,30.28404,-97.71702,Entire home/apt,75,1,291,6/30/2019,4.58,4,316,30,261,7.7
906,2639623,Artisan's Studio Apartment,11897676,Gale (Audrianna),,78733,30.34707,-97.85713,Entire home/apt,105,2,24,4/30/2019,0.39,3,337,1,23,22
907,2650844,3 Story House Over Lake Austin,13569418,Nathan,,78734,30.37566,-97.92242,Entire home/apt,450,3,110,6/23/2019,1.72,1,122,14,96,5.857142857
908,2657000,"Charming Bottom Floor, 2 Bedroom 2 Bath Condo",10010707,Francene,,78757,30.35345,-97.73548,Entire home/apt,80,30,13,5/8/2019,0.21,1,305,2,11,4.5
909,2663425,Victorian Home on the Lake 1 mile to Downtown/SOCO,13208189,Bret,,78704,30.24996,-97.73957,Entire home/apt,899,2,49,7/7/2019,0.82,1,163,2,47,22.5
910,2665394,5 blocks to East 6th! Walk Downtown! 7 Bed 3 Couch,5367671,Jeremy,,78702,30.26337,-97.7172,Entire home/apt,786,2,96,5/19/2019,1.67,3,140,2,94,46
911,2686649,SoLa/Soco/downtown convenience,13752896,Kelly And Mark,,78704,30.23574,-97.76796,Entire home/apt,145,2,183,9/30/2018,2.89,1,83,31,152,3.903225806
912,2702956,Xeriscape Bungalow in Hip E. Austin,880571,Angel,,78702,30.27361,-97.71879,Entire home/apt,125,2,298,6/12/2019,4.69,10,333,40,258,5.45
913,2708067,"""The Westrock"" 3/2 in Barton Hills!",579290,Jay,,78704,30.24407,-97.78512,Entire home/apt,316,3,25,4/28/2019,0.41,22,220,3,22,6.333333333
914,2710898,Charming 2BR house in East Austin.,9983041,Fiore,,78721,30.26732,-97.68608,Entire home/apt,85,2,49,6/3/2019,0.8,3,78,5,44,7.8
916,2722858,Charming 3/2 in Central Austin,13933587,LaShawn,,78756,30.32114,-97.74305,Entire home/apt,399,1,7,3/14/2019,0.12,1,358,1,6,5
918,2746300,Comfortable Condo  (walkable area),376422,Derek,,78757,30.35755,-97.72884,Entire home/apt,75,30,18,5/27/2019,0.32,1,133,1,17,16
919,2774094,Bouldin Bauhaus in the Forest,14187294,Jay,,78704,30.25593,-97.75669,Entire home/apt,125,2,34,5/27/2019,0.54,1,26,1,33,32
920,2790794,Spacious Home in Historic Hyde Park,8850433,Sarah,,78751,30.30284,-97.72567,Entire home/apt,350,3,7,7/7/2015,0.11,2,0,4,3,-0.25
922,2815354,Lake Travis Resort,14401669,Rhonda,,78734,30.38991,-97.96556,Entire home/apt,900,2,13,6/2/2019,0.21,1,253,1,12,11
923,2832008,"Private Hot tub! 2 bedroom, 1 bath",579290,Jay,,78704,30.24616,-97.78393,Entire home/apt,160,2,54,5/30/2019,0.89,22,327,3,51,16
926,2853144,!South Austin Private room,7567467,Chalu,,78739,30.18916,-97.88786,Private room,50,2,30,5/26/2019,0.48,7,89,6,24,3
928,2855712,ACL Austin Treehouse,7440744,Jenny,,78703,30.27345,-97.75701,Entire home/apt,165,2,61,9/23/2018,0.98,2,177,3,58,18.33333333
929,2867059,Happy Camper,880571,Angel,,78702,30.27576,-97.71492,Entire home/apt,75,2,371,6/16/2019,5.87,10,57,61,310,4.081967213
930,2902979,Stylish Mid-Century Modern Getaway near SoCo,80406,Dani,,78704,30.24061,-97.74121,Entire home/apt,550,1,130,7/3/2019,2.1,12,160,3,127,41.33333333
932,2926298,Nice House w/ Access to Lake Austin,14941666,John,,78734,30.3829,-97.92067,Entire home/apt,425,2,29,5/5/2019,0.47,1,357,2,27,12.5
933,2926708,Modern Bungalow + Guest House in East Downtown,2436512,Crystal,,78702,30.2586,-97.72219,Entire home/apt,400,1,46,6/30/2019,0.75,8,261,7,39,4.571428571
934,2948580,BR w/ pvt bath minutes to downtown,13246317,Caeriel,,78741,30.22663,-97.74533,Private room,41,1,176,6/24/2019,2.85,1,350,25,151,5.04
935,2967072,Eastside Modern Treehouse,7041918,Mitch,,78702,30.25704,-97.71321,Entire home/apt,300,3,34,7/7/2019,0.54,1,289,13,21,0.615384615
936,2979222,Downtown Rock Royalty Hotel Suite,4929310,Ryan,,78701,30.26647,-97.74259,Entire home/apt,495,1,114,6/24/2019,1.84,25,294,9,105,10.66666667
942,2994424,"Duplex by Park, Springs, Trails, River; 2 mi to DT",15219795,Cynthia,,78704,30.25896,-97.77551,Entire home/apt,169,2,36,7/7/2019,0.62,8,244,1,35,34
945,3013429,"Heart of SoCo Home, 6BR/3BA",386263,Vineet,,78704,30.24988,-97.75312,Entire home/apt,700,1,102,6/30/2019,1.65,3,155,30,72,1.4
947,3032156,"Zilker, Downtown Austin view",14613487,Susana,,78704,30.25887,-97.76013,Entire home/apt,175,2,9,1/23/2019,0.14,1,346,2,7,2.5
949,3052787,CHARMING MODERN COTTAGE FROM 1948,8946222,Charles,,78702,30.27977,-97.70445,Entire home/apt,150,30,45,11/1/2018,0.73,1,365,1,44,43
950,3053308,Retro Central Austin Suite,12039578,Micki,,78703,30.30752,-97.75237,Private room,48,30,137,6/23/2019,2.36,2,194,24,113,3.708333333
951,3084141,"Sweet house, Sweat ATX - SXSW Week",15692700,Paulina,,78745,30.21156,-97.77582,Private room,90,2,2,3/16/2015,0.03,1,0,1,1,0
952,3091862,Spacious 3BR Home - close to Downtown/ACL/SXSW,4870151,Rachel,,78704,30.25412,-97.75722,Entire home/apt,750,2,23,4/29/2019,0.4,2,309,2,21,9.5
953,3101547,Quaint Austin Home,2767292,Sharat,,78745,30.21546,-97.7848,Private room,200,1,4,3/3/2017,0.07,1,0,2,2,0
954,3104453,6th St loft right downtown A5,15782486,Top Trip Rentals,,78701,30.2687,-97.74273,Entire home/apt,435,1,106,6/16/2019,1.74,32,164,11,95,7.636363636
955,3104715,Ready for Fun on Vibrant 6th St B6,15782486,Top Trip Rentals,,78701,30.26788,-97.74083,Entire home/apt,326,1,139,6/23/2019,2.24,32,145,7,132,17.85714286
956,3122479,Downtown Loft at 119 E. 6th St. A1,15782486,Top Trip Rentals,,78701,30.26999,-97.74228,Entire home/apt,544,1,98,6/9/2019,1.67,32,139,4,94,22.5
959,3125395,Room available in Hyde Park,1681295,William,,78751,30.31163,-97.72282,Private room,38,2,18,5/8/2019,0.29,1,69,2,16,7
960,3130995,"Charming, Modern Studio - Hyde Park",1488733,Brooke,,78751,30.30726,-97.71737,Entire home/apt,93,1,146,6/4/2019,2.39,34,288,4,142,34.5
961,3157949,High-Rise Luxury Living Downtown! ,12384418,Daniel,,78701,30.26395,-97.73931,Entire home/apt,149,21,27,7/26/2015,0.44,1,0,12,15,0.25
962,3158012,Adorable 1-1 in 04 perfect location,412855,Robin,,78704,30.24137,-97.78359,Entire home/apt,65,60,11,5/13/2018,0.19,1,208,1,10,9
964,3225770,Modern Downtown Austin Condo for 2!,382510,Christina,,78701,30.27022,-97.74006,Entire home/apt,282,30,23,5/31/2019,0.41,2,297,1,22,21
965,3229143,The Traveler 2/1 w/ private hot tub,579290,Jay,,78704,30.24488,-97.78552,Entire home/apt,150,2,47,6/8/2019,0.84,22,337,2,45,21.5
967,3269285,Westlake house with Sparkling Pool,2109040,John,,78746,30.33439,-97.79995,Entire home/apt,1200,2,46,5/27/2019,0.75,1,346,15,31,1.066666667
968,3271554,Sunny 1 BR Apt in Travis Heights,1119491,Tonia,,78704,30.23804,-97.74142,Entire home/apt,57,60,24,1/2/2019,0.4,1,26,15,9,-0.4
969,3271774,"Beautiful Rm, yard, hardwood home!",4717260,Tony,,78752,30.32522,-97.71627,Private room,60,1,25,3/27/2019,0.41,2,294,6,19,2.166666667
971,3288517,2 blocks to East 6th Street!,408793,Jason,,78702,30.25639,-97.71922,Entire home/apt,400,1,249,7/10/2019,4.06,6,157,3,246,81
972,3294079,Private Studio off South Congress!,16643010,Isabel,,78704,30.23996,-97.75031,Entire home/apt,85,3,13,5/31/2019,0.22,1,302,2,11,4.5
973,3294395,Explore Downtown Austin from a Designer Condo,1488733,Brooke,,78703,30.27135,-97.75486,Entire home/apt,213,1,55,6/19/2019,0.94,34,309,1,54,53
975,3308866,Great East Austin Full House 3br3ba,8108663,Julian,,78702,30.26508,-97.72033,Private room,600,2,6,2/21/2018,0.1,1,361,2,4,1
977,3349679,Stay on 6th St w/ Amazing Views B3,15782486,Top Trip Rentals,,78701,30.26959,-97.74097,Entire home/apt,326,1,127,6/23/2019,2.09,32,149,13,114,7.769230769
980,3379772,Bright Airy Modern on the Eastside!,3493749,Niki & Veronica,,78702,30.25673,-97.72776,Entire home/apt,1000,1,13,3/13/2017,0.21,1,0,8,5,-0.375
982,3403516,Charming Apartment (B) on E. 6th Street!,11349,Andi,,78702,30.26552,-97.73224,Entire home/apt,110,2,297,6/25/2019,4.86,2,123,46,251,4.456521739
984,3416245,Monet's Cottage (main home),11897676,Gale (Audrianna),,78733,30.3472,-97.85673,Entire home/apt,175,2,4,10/12/2018,0.07,3,337,2,2,0
987,3432834,"Artsy, zen garden cottage",8243517,Jennifer,,78702,30.25827,-97.73229,Entire home/apt,85,30,164,6/24/2019,2.72,2,104,7,157,21.42857143
988,3441118,Fantastic Tarrytown Home 4BD/3.5 CLEAN & SPACIOUS!,9728130,Julie,,78703,30.29739,-97.77755,Entire home/apt,400,30,5,9/5/2016,0.08,2,223,1,4,3
989,3475010,"Cozy Studio 2blks from Park, Springs; 2 mi to DT!",15219795,Cynthia,,78704,30.26005,-97.77147,Entire home/apt,109,2,45,6/16/2019,0.78,8,339,3,42,13
990,3478000,"View - 2 blks to Park, Springs, Trails; 2 mi to DT",15219795,Cynthia,,78704,30.26084,-97.7733,Entire home/apt,159,2,56,6/6/2019,0.98,8,237,1,55,54
991,3504013,Home/Private deck near Zilker Park,16254839,Mary,,78704,30.25658,-97.77491,Entire home/apt,115,31,68,6/1/2019,1.13,1,284,12,56,3.666666667
993,3539813,Cozy Cottage in East Austin,17819821,James,,78702,30.26475,-97.71616,Entire home/apt,150,2,56,7/7/2019,0.97,1,230,3,53,16.66666667
994,3539968,"Garage apt, 1 mile from downtown!!",16173856,Allen,,78702,30.25448,-97.722,Entire home/apt,100,2,236,6/24/2019,3.94,1,221,22,214,8.727272727
995,3543027,Luxury Modern home in Barton Hills,9676984,Caroline,,78704,30.25728,-97.78343,Entire home/apt,545,2,18,3/17/2019,0.31,1,356,1,17,16
996,3543410,Glamorous and Tranquil Suite Steps from South Congress,16787151,Barbara And Robert,,78704,30.24621,-97.75179,Entire home/apt,137,2,87,5/20/2019,1.53,1,140,3,84,27
997,3548997,Urban Loft on 6th St + Views + 98 Walk Score - A4,15782486,Top Trip Rentals,,78701,30.26687,-97.74238,Entire home/apt,435,1,102,6/10/2019,1.68,32,167,10,92,8.2
998,3549253,Stay on 6th St w/ Amazing views  A6,15782486,Top Trip Rentals,,78701,30.26699,-97.74144,Entire home/apt,326,1,138,6/23/2019,2.28,32,153,10,128,11.8
999,3549443,Stylish Loft in the Heart of the Entertainment District,15782486,Top Trip Rentals,,78701,30.26727,-97.74208,Entire home/apt,489,1,101,6/27/2019,1.67,32,114,9,92,9.222222222
1001,3609272,Downtown Loft Apartment near Driskill Hotel,15782486,Top Trip Rentals,,78701,30.26693,-97.74081,Entire home/apt,380,1,99,6/27/2019,1.75,32,134,1,98,97
1002,3612755,Walk to Downtown & Zilker Park!,18202961,Monica & Felipe,,78704,30.26112,-97.76525,Entire home/apt,729,2,18,3/15/2019,0.31,1,137,2,16,7
1004,3615030,Amazing Downtown Town Home,746455,Michael,,78703,30.27846,-97.75301,Entire home/apt,349,1,34,5/27/2019,0.57,2,360,6,28,3.666666667
1005,3629021,Unique Austin 78704 downtown-adjacent 1bd condo,8678004,Eirian,,78704,30.24412,-97.76086,Entire home/apt,129,68,20,1/3/2019,0.33,1,266,14,6,-0.571428571
1006,3637181,Casita Riad/Oasis n Heart of Austin,8638145,Pam,,78703,30.28311,-97.76111,Entire home/apt,150,30,15,5/31/2019,0.27,1,358,1,14,13
1007,3649811,Sophisticated Bohemian Townhouse near the East Side,2304514,Katrina,,78702,30.25726,-97.72581,Entire home/apt,425,2,57,4/28/2019,0.96,2,351,10,47,3.7
1008,3655306,Charming Central Austin 2BR Home,8255594,Katherine & Andrew,,78723,30.30996,-97.69963,Entire home/apt,175,2,22,7/7/2019,0.38,1,228,4,18,3.5
1009,3661871,Modern Serene Guesthouse,16921065,Jodi,,78746,30.27769,-97.78126,Entire home/apt,155,2,324,6/30/2019,5.39,1,319,37,287,6.756756757
